season,climate_season,rows,target_mean
2019,autumn,30131,0.5603863130994656
2019,spring,97586,0.5713626954686123
2019,summer,109696,0.5598927946324388
2020,autumn,83764,0.5324483071486558
2020,spring,40734,0.5430353022045465
2020,summer,119589,0.5293797924558279
2021,autumn,80451,0.5121999726541622
2021,spring,83470,0.5446148316760513
2021,summer,83167,0.5407553476739572
2022,autumn,50879,0.5141020853397276
2022,spring,86260,0.5423950846278692
2022,summer,110333,0.5252191094232913
2023,autumn,54779,0.5045181547673379
2023,spring,80864,0.49160318559556787
2023,summer,109882,0.5038313827560474
2024,autumn,34976,0.47706999085086915
2024,spring,99027,0.4915528088299151
2024,summer,119504,0.48423483732762085
