season,game_month,rows,target_mean
2019,3,13395,0.5696901829040687
2019,4,39478,0.5751304524038705
2019,5,44713,0.5685371144857201
2019,6,41941,0.5674399752032617
2019,7,29821,0.5601757151000972
2019,8,37934,0.5513259872409976
2019,9,29524,0.559612518628912
2019,10,607,0.5980230642504119
2020,5,40734,0.5430353022045465
2020,6,41502,0.5314201725218062
2020,7,39435,0.5287181437809053
2020,8,38652,0.527864017385905
2020,9,43467,0.5384774656636069
2020,10,40297,0.5259448594188153
2021,4,41889,0.5452744157177302
2021,5,41581,0.5439503619441571
2021,6,43100,0.538631090487239
2021,7,12742,0.5569769266991054
2021,8,27325,0.5365416285452882
2021,9,42805,0.5307090293190048
2021,10,37646,0.49115443871858894
2022,4,41395,0.5335426983935257
2022,5,44865,0.55056279950964
2022,6,39951,0.5368826812845736
2022,7,33468,0.5188538305246803
2022,8,36914,0.5183670152245761
2022,9,41603,0.516621397495373
2022,10,9276,0.5028029322984044
2023,4,41288,0.4866547180778919
2023,5,39576,0.49676571659591673
2023,6,42446,0.5028271215191066
2023,7,28611,0.5042116668414246
2023,8,38825,0.5046490663232454
2023,9,37141,0.5019250962548127
2023,10,17638,0.5099784556072117
2024,3,12361,0.5026292371167381
2024,4,42588,0.49213393444162673
2024,5,44078,0.4878851127546622
2024,6,44514,0.48757694208563596
2024,7,33070,0.47989114000604777
2024,8,41920,0.4841125954198473
2024,9,33305,0.47566431466746734
2024,10,1671,0.5050867743865949
