number,value,params_iterations,params_official_weight,user_attrs_all_development_folds_non_degraded,user_attrs_maximum_development_fold_brier_delta,state
0,2.005387129545024,10,0.5,False,0.0008239453738733138,COMPLETE
1,2.004607635303145,50,0.5,False,4.445113199455508e-05,COMPLETE
2,1.0031243138267367,100,0.5,True,-4.302387609744773e-05,COMPLETE
3,1.0032422448135785,150,0.5,True,-5.114186441221302e-05,COMPLETE
4,1.0032661105031149,200,0.5,True,-5.436408166906159e-05,COMPLETE
5,1.0035368246793859,300,0.5,True,-1.146280221447915e-05,COMPLETE
6,2.0045820236474485,400,0.5,False,1.8839476298271318e-05,COMPLETE
7,1.0045631841711506,10,1.0,True,0.0,COMPLETE
8,1.0032539475214606,120,0.5610191174223894,True,-5.248717990943841e-05,COMPLETE
9,1.004052527637968,290,0.811649063413779,True,-3.3350202500614934e-05,COMPLETE
10,1.003899267934915,370,0.7136067493281016,True,-2.8567307833154976e-05,COMPLETE
11,1.0033793052887283,150,0.5686960502078494,True,-5.662805532652415e-05,COMPLETE
12,1.0036157133546495,100,0.7038416871537123,True,-5.350200257339677e-05,COMPLETE
13,1.0035703199971897,210,0.6586892719059066,True,-6.10520897571798e-05,COMPLETE
14,1.0031392299431041,100,0.5071008872167593,True,-4.4036953229686926e-05,COMPLETE
15,1.003240208462373,100,0.5533231378699279,True,-4.9488254121904385e-05,COMPLETE
16,1.003400225387127,90,0.6423333144589319,True,-4.9201558195571815e-05,COMPLETE
17,1.0042476424809084,270,0.8878591856443669,True,-2.5235327147293818e-05,COMPLETE
18,2.004595961716544,40,0.6430142360828874,False,3.277754539363076e-05,COMPLETE
19,1.003359199126799,100,0.6042238260235387,True,-5.319812702711535e-05,COMPLETE
20,1.003631573666404,240,0.6314153573435832,True,-4.695812211996664e-05,COMPLETE
21,1.0036505982570847,330,0.5780545957082476,True,-2.2440325711164943e-05,COMPLETE
22,1.0031636915551485,100,0.5185858217216417,True,-4.557649604297609e-05,COMPLETE
23,1.0031662641482788,100,0.5197824483041831,True,-4.572986410034119e-05,COMPLETE
24,1.0035808990074495,350,0.5226410074277421,True,-1.0756414495327604e-05,COMPLETE
25,1.0031444243476892,100,0.5095561071424406,True,-4.4376355373909604e-05,COMPLETE
26,2.0046675759666193,30,0.5988683259344625,False,0.00010439179546889443,COMPLETE
27,1.003286491288419,220,0.5012966220405316,True,-5.44428615818493e-05,COMPLETE
28,1.003616157442264,280,0.6093046055815488,True,-4.440389529233868e-05,COMPLETE
29,2.0049193385833957,20,0.5006556864685262,False,0.0003561544122451521,COMPLETE
30,1.0035301384587454,320,0.5032143079220865,True,-1.8620194303320403e-05,COMPLETE
31,1.003418078696982,230,0.510685225727795,True,-4.7740818158031884e-05,COMPLETE
32,1.0031327829669212,100,0.5040410497098644,True,-4.36061438357227e-05,COMPLETE
33,1.0032400690213195,130,0.5060400504918654,True,-4.5887958531970474e-05,COMPLETE
34,1.0032809673947252,160,0.5043544170020432,True,-3.916696442340939e-05,COMPLETE
35,2.0045640793313244,380,0.5147115385237636,False,8.951601738749204e-07,COMPLETE
36,1.0028712206860162,80,0.5017486508824168,True,-2.9221952109692584e-05,COMPLETE
37,1.0029443526196442,80,0.5293767364972023,True,-3.3946863228190294e-05,COMPLETE
38,1.0029357234096141,80,0.5261638802549533,True,-3.3435664232861484e-05,COMPLETE
39,1.0029794677193176,80,0.542326977217197,True,-3.590528785263336e-05,COMPLETE
40,1.0031289414110465,80,0.5953970337256149,True,-4.222183278299041e-05,COMPLETE
41,1.0033960501251846,180,0.5815823396127748,True,-5.423046521343955e-05,COMPLETE
42,1.003296883374989,110,0.5724367269340168,True,-4.907849893337479e-05,COMPLETE
43,1.0029857449239734,80,0.5446214590030618,True,-3.623521392048801e-05,COMPLETE
44,1.002932231971472,80,0.5248604511141931,True,-3.3225403879011406e-05,COMPLETE
45,1.0031278268720953,80,0.5950127537706292,True,-4.218597136765312e-05,COMPLETE
46,1.0029083465452515,80,0.515888782158897,True,-3.1733193566363394e-05,COMPLETE
47,1.0032415326848965,190,0.5001321357143796,True,-5.312193654061215e-05,COMPLETE
48,1.004528217753277,340,0.9877337360833707,True,-2.9061014907016958e-06,COMPLETE
49,1.0028781753820666,80,0.5044160198099046,True,-2.9710592999415697e-05,COMPLETE
50,1.0028866711701276,80,0.5076627416093268,True,-3.029600220677553e-05,COMPLETE
51,1.0029435030685163,80,0.5290609704102561,True,-3.3897067733074104e-05,COMPLETE
52,1.002893657022288,80,0.5103228832672667,True,-3.076798307846684e-05,COMPLETE
53,1.0035912898000392,310,0.5471964236870539,True,-1.898056761798217e-05,COMPLETE
54,1.0030474631881907,90,0.5002215875482008,True,-3.683859123770894e-05,COMPLETE
55,2.0053648521281504,10,0.5073402505882273,False,0.0008016679569998741,COMPLETE
56,1.0032797598825216,170,0.5189464444469387,True,-4.96851560048972e-05,COMPLETE
57,1.0036420663869456,340,0.5784890435253127,True,-2.3138620110607633e-05,COMPLETE
58,1.0032378661631425,210,0.5076275556374442,True,-5.804071818196754e-05,COMPLETE
59,1.0040140732271408,320,0.7825269757813548,True,-3.367785921570832e-05,COMPLETE
60,1.0034493182256998,290,0.5025222558638981,True,-2.6838100297188472e-05,COMPLETE
61,1.0028800602674917,80,0.5051374483135203,True,-2.9841560679449985e-05,COMPLETE
62,2.0045693541992353,60,0.5053553393736339,False,6.170028084728774e-06,COMPLETE
63,1.0034731919297482,270,0.5185060032189289,True,-3.732521020560764e-05,COMPLETE
64,1.0028788563931998,80,0.5046767458059536,True,-2.9757983615180672e-05,COMPLETE
65,1.0035908241544567,370,0.5055837678544315,True,-2.238115957536868e-06,COMPLETE
66,1.0031328641112787,70,0.5844392390545446,True,-2.831495478303192e-05,COMPLETE
67,1.0034105400321696,240,0.5097869103287224,True,-3.9011842106112526e-05,COMPLETE
68,1.0035670440120827,260,0.5898406480079028,True,-4.492761155930336e-05,COMPLETE
69,1.0042378127802798,240,0.8877677333975077,True,-2.5615539839596302e-05,COMPLETE
70,2.004651763373155,40,0.5177289502147562,False,8.857920200464053e-05,COMPLETE
