spec,C,brier,competition_score,prediction_mean,new_pitcher_brier,existing_pitcher_brier,game_type_f_brier,game_type_r_brier
global_logit,3e-06,0.2506959838699426,0.0,0.5276104549299658,0.2509574743251331,0.2506541275070319,0.2559527698595347,0.250081780726148
beta,1e-06,0.2507064354098269,0.0,0.5280175366026424,0.2509212136485478,0.25067205619740535,0.25473625762791496,0.2502355907758274
beta,3e-06,0.2507177954295795,0.0,0.5266987841010063,0.25109339273115294,0.2506576741645358,0.25936910625213416,0.24970697583074528
global_logit,1e-06,0.25075761538431607,0.0,0.5284146658889834,0.25090827095011675,0.250733500186566,0.25355818636331756,0.250430396527941
hierarchical_beta,1e-06,0.2508261187226648,0.0,0.527719649692383,0.25119551507441806,0.25076699003383524,0.256179169181354,0.250200668033379
hierarchical_logit,1e-06,0.25086411472115105,0.0,0.5280826271620179,0.2511862680091556,0.25081254815469367,0.2549887133952352,0.2503821964011873
global_logit,1e-05,0.25089714990088413,0.0,0.5257859381376373,0.251343441042728,0.25082571278482113,0.26353564769175697,0.24942046717281333
hierarchical_interaction,1e-06,0.2509574229826779,0.0,0.5276598052720138,0.2515152120501197,0.25086813857029894,0.25646701549664097,0.2503136819116503
hierarchical_logit,3e-06,0.251074640407717,0.0,0.5269899202501521,0.25165723711106414,0.25098138507635875,0.2600796425949599,0.2500224954917488
hierarchical_beta,3e-06,0.2511095445437884,0.0,0.526284263382735,0.2517312840894801,0.25101002367966596,0.26319873783479003,0.2496970425815676
beta,1e-05,0.2513276416206505,0.0,0.5243871559878903,0.2518711936012405,0.25124063611620956,0.2710705817418542,0.24902087548746563
hierarchical_interaction,3e-06,0.25137468385076595,0.0,0.5262702662044605,0.2524749645280332,0.25119856366581433,0.2636245784468101,0.2499434055398476
global_logit,3e-05,0.25175577621460693,0.0,0.5236198385599388,0.25230199952428045,0.25166834311475145,0.27633819663739,0.24888356495555095
hierarchical_logit,1e-05,0.2519066006778298,0.0,0.5252509761128163,0.2526372185316593,0.25178965183540797,0.2728029703584496,0.2494650677759498
hierarchical_beta,1e-05,0.25210802295359946,0.0,0.5242544631754132,0.2527965665161498,0.25199780887632894,0.2778524891649017,0.24910003820519944
hierarchical_interaction,1e-05,0.2524339036587021,0.0,0.5246074786051532,0.2538450474195328,0.2522080241124321,0.2777876255427292,0.24947157349747912
beta,3e-05,0.25243516029032564,0.0,0.5224461299287828,0.253011880633252,0.2523428455786707,0.2844728227723642,0.2486918781678924
global_logit,0.0001,0.25294315504603726,0.0,0.5218830780268017,0.25348127571231716,0.25285701892347356,0.289640077387286,0.2486554847634336
hierarchical_logit,3e-05,0.2530421958445297,0.0,0.523990091604505,0.2536118196917996,0.2529510170576921,0.2873513402229458,0.24903351366118645
hierarchical_beta,3e-05,0.2532016356621551,0.0,0.5230623771522698,0.2537122509310505,0.25311990228497677,0.29110165060345905,0.24877339597864878
beta,0.0001,0.2533702893772484,0.0,0.5212763832836873,0.2539255766878303,0.2532814054171267,0.2941166407678473,0.24860948359747814
hierarchical_interaction,3e-05,0.25343494244923753,0.0,0.523663984693515,0.2544580570558114,0.25327117411497574,0.2904702356695343,0.24910773689582552
global_logit,0.0003,0.2535939304316443,0.0,0.5211571757441523,0.25410565845694066,0.25351201893731173,0.2961955433805857,0.24861635579654087
beta,0.0003,0.2537489900448726,0.0,0.5208359072859107,0.2542975279651873,0.2536611864489586,0.2977936087847294,0.24860281453938018
hierarchical_logit,0.0001,0.2538293892855131,0.0,0.5231709411209087,0.2542333602189881,0.25376472629816027,0.29727309490256504,0.24875342450001278
hierarchical_beta,0.0001,0.2538357226679292,0.0,0.5223921479554134,0.25421934819132325,0.253774316338137,0.2984318247138116,0.2486251118247642
beta,0.001,0.2538705351266094,0.0,0.5206680027966504,0.2544319654365816,0.253780667866307,0.298937081027697,0.24860495759934934
global_logit,0.001,0.25388436193390096,0.0,0.5208630234313067,0.25438152267058134,0.25380478220237984,0.2990176790243883,0.24861098285745747
beta,0.003,0.25391390107397405,0.0,0.520561121865462,0.2544911024807171,0.2538215093591959,0.2993105031551954,0.24860975976575186
beta,0.01,0.2539144842622367,0.0,0.5204950667024165,0.2545024623626937,0.2538203675391682,0.29928654354921563,0.2486132105353487
beta,0.03,0.25391575239651215,0.0,0.5204822243168269,0.2545077268834897,0.2538209959781843,0.2992858684773829,0.24861470571392505
beta,0.1,0.25391612483885817,0.0,0.5204775204727918,0.2545096232707717,0.25382112448507865,0.29928432369220287,0.2486153021652333
beta,1.0,0.2539162577530871,0.0,0.5204756741336868,0.25451036291854706,0.25382116028043006,0.2992835267168721,0.24861554372780614
hierarchical_interaction,0.0001,0.25392673129369003,0.0,0.5229354483472624,0.2543650664528086,0.2538565676791781,0.2977844881309408,0.24880238874245195
global_logit,0.003,0.2539748374861015,0.0,0.5207611052955767,0.2544672603880147,0.25389601613228596,0.29988513350717405,0.24861067615168295
global_logit,0.01,0.25400736952393266,0.0,0.5207233715464218,0.25449806799591956,0.25392882419688345,0.3001957119636384,0.2486107212317448
global_logit,0.03,0.2540167492983617,0.0,0.5207123882895585,0.2545069485944597,0.25393828387360623,0.30028512952840125,0.24861074938665903
global_logit,0.1,0.25402004122398464,0.0,0.520708522712074,0.2545100651215289,0.2539416038749978,0.3003164977841438,0.2486107608724353
global_logit,1.0,0.25402131221833363,0.0,0.5207070287240693,0.2545112683666776,0.2539428857138541,0.3003286069870607,0.24861076552994113
hierarchical_logit,1.0,0.25402396464211074,0.0,0.5218178205134394,0.25427704029679427,0.25398345522298665,0.30066595059831114,0.2485743126182616
hierarchical_logit,0.1,0.25402423077119374,0.0,0.5218212369149721,0.2542776410134071,0.25398366779517384,0.3006677835959363,0.24857439567434408
hierarchical_logit,0.03,0.25402491203543714,0.0,0.5218300408697736,0.2542791841524075,0.2539842111004902,0.3006724110524807,0.24857461586527727
hierarchical_interaction,0.0003,0.2540257327153854,0.0,0.5223880034766295,0.2542600344636576,0.25398822840571894,0.3001252037605087,0.2486394681614844
hierarchical_logit,0.01,0.2540267900144132,0.0,0.5218547783059442,0.25428348120602867,0.2539857018620201,0.3006846582978617,0.24857528229863646
hierarchical_logit,0.0003,0.25403090031128267,0.0,0.522556975786665,0.2543612758413135,0.2539780176235697,0.30022080020864306,0.24863407004566285
