config_id,harmonic_order,ridge,recency_decay_per_year,strength,objective,objective_improvement,delta_2022,delta_2023,development_non_degraded,optimizer_success
1,0,0.1,1.0,0.04044148719408911,1.0045578114376223,5.372733528297147e-06,2.774722362267057e-05,-1.2553515980007202e-05,False,True
2,0,0.1,0.8,0.03767394630627868,1.0045590930907533,4.091080397339297e-06,2.472535021888489e-05,-1.0945327137301675e-05,False,True
3,0,1.0,1.0,0.0459302953198832,1.0045567284014998,6.4557696508593665e-06,2.991472104391102e-05,-1.3763682024492407e-05,False,True
4,0,1.0,0.8,0.04321298777925908,1.0045581569729292,5.027198221485563e-06,2.7008586400895096e-05,-1.2149262797411797e-05,False,True
5,0,10.0,1.0,0.09550765313702321,1.004547269026676,1.591514447474296e-05,4.10461268292861e-05,-2.1327219353273197e-05,False,True
6,0,10.0,0.8,0.09095791666556038,1.0045500049457345,1.31792254161045e-05,3.900452436125801e-05,-1.9593623910019176e-05,False,True
7,1,0.1,1.0,0.002779499711930722,1.0045631628755132,2.12956374756601e-08,1.1516170965175654e-06,-4.5122683423048926e-07,False,True
8,1,0.1,0.8,0.0010000633152633179,1.004563207205022,-2.3033871254796168e-08,3.6994765392761586e-07,-1.346152532777367e-07,False,True
9,1,1.0,1.0,0.007631212686662417,1.0045630327445574,1.5142659326450314e-07,3.0437178762943162e-06,-1.2255125149129853e-06,False,True
10,1,1.0,0.8,0.0010000633152633179,1.0045631861721902,-2.001039556276396e-09,3.5679975979308054e-07,-1.3682582722385206e-07,False,True
11,1,10.0,1.0,0.05054124395851226,1.004559121857338,4.062313812669416e-06,1.4398166014589764e-05,-6.95505544523467e-06,False,True
12,1,10.0,0.8,0.04031600306999117,1.0045608119532103,2.372217940305177e-06,1.1058770639338356e-05,-5.0831521904437516e-06,False,True
13,2,0.1,1.0,0.0010000633152633179,1.0045632854229596,-1.012518089371639e-07,3.828555941443046e-07,-1.1252426340702115e-07,False,True
14,2,0.1,0.8,0.0010000633152633179,1.0045633110246606,-1.2685350991858968e-07,3.445184245109978e-07,-8.888926605887804e-08,False,True
15,2,1.0,1.0,0.0010000633152633179,1.004563217702104,-3.3530953347238324e-08,3.8745047276078637e-07,-1.377288771364782e-07,False,True
16,2,1.0,0.8,0.0010000633152633179,1.0045632503993585,-6.62282078067733e-08,3.531845294280078e-07,-1.1320772186351746e-07,False,True
17,2,10.0,1.0,0.04956698829462542,1.0045592736169398,3.910554210895256e-06,1.4286236560717702e-05,-6.859401614600635e-06,False,True
18,2,10.0,0.8,0.03998754074779455,1.004560858938555,2.325232595579152e-06,1.1160947918115172e-05,-5.106275018706974e-06,False,True
