variant,validation_season,branch,brier,competition_score,selected_iterations,fit_seconds,source
without_mapping,2022,catboost,0.24352568887898957,2262.737770496048,75,6.56324604099791,fitted
without_mapping,2022,spline_logistic,0.2448148826762742,1745.3292260017129,0,18.16255641599855,fitted
without_mapping,2023,catboost,0.25326974029720667,0.0,208,35.27095266700053,fitted
without_mapping,2023,spline_logistic,0.2550852268367441,0.0,0,24.111878250005248,fitted
without_mapping,2024,catboost,0.2498943228053059,0.0,1,2.201003916998161,fitted
without_mapping,2024,spline_logistic,0.25106985259410525,0.0,0,30.54440899999463,fitted
with_mapping,2022,catboost,0.24344757930244623,2294.0864803606687,137,13.650255708002078,fitted
with_mapping,2022,spline_logistic,0.24625357903184453,1167.9189182009497,0,18.231280874999356,fitted
with_mapping,2023,catboost,0.25339338812364837,0.0,272,53.49669941599859,fitted
with_mapping,2023,spline_logistic,0.25511615107277213,0.0,0,24.99369100000331,fitted
with_mapping,2024,catboost,0.24989131788342647,0.0,1,2.5655344170008902,fitted
with_mapping,2024,spline_logistic,0.2511346618886859,0.0,0,32.24310133400286,fitted
