number,value,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,state,duration,user_attrs_competition_score,user_attrs_fit_seconds,user_attrs_prediction_mean
0,0.24818101662932196,gini,16,0.8,100,COMPLETE,0 days 00:00:37.885241,650.8667107734012,37.822690500001045,0.49458819553784217
1,0.2484368605066829,log_loss,11,0.4,162,COMPLETE,0 days 00:00:18.335685,548.4500641725454,18.27867883399813,0.49814573819342123
2,0.24816350604456835,log_loss,21,0.7000000000000001,185,COMPLETE,0 days 00:00:37.168604,657.8763581762681,37.09583204199953,0.4947932779823402
3,0.2482321855678657,log_loss,15,0.5,253,COMPLETE,0 days 00:00:25.745721,630.383316174199,25.687212834000093,0.4961499594851572
4,0.24824782746925628,log_loss,12,0.6000000000000001,101,COMPLETE,0 days 00:00:30.295696,624.1217198311056,30.23826466600076,0.49579253313979277
5,0.2482280374573018,gini,21,0.6000000000000001,375,COMPLETE,0 days 00:00:33.628912,632.0438428128127,33.55869033400086,0.49582156440675423
6,0.24825611299206765,gini,18,1.0,48,COMPLETE,0 days 00:00:59.652171,620.804949187903,59.57434412499788,0.4942100039855713
7,0.24832222897099504,log_loss,10,0.7000000000000001,139,COMPLETE,0 days 00:00:31.664635,594.3381174687956,31.587662915997498,0.4961379443591912
8,0.24816569106720732,log_loss,21,0.7000000000000001,325,COMPLETE,0 days 00:00:38.760555,657.0016736079376,38.70124187499823,0.49499406159120257
9,0.24824850277308663,gini,22,1.0,103,COMPLETE,0 days 00:00:55.417207,623.8513895247655,55.35401979100061,0.4944081766632226
