number,value,params_l2_regularization,params_learning_rate,params_max_bins,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,state,duration,user_attrs_competition_score,user_attrs_fit_seconds,user_attrs_prediction_mean
0,0.2481932114836614,5.0,0.04,255,300,31,200,COMPLETE,0 days 00:00:13.892589,645.9849989258637,13.8379427079999,0.4955905749520706
1,0.24829166524444404,5.675206026988748,0.029345405892355497,255,500,63,364,COMPLETE,0 days 00:00:25.657300,606.5730570470552,25.605631833001098,0.497074297089487
2,0.24820167094703693,0.22158645374549912,0.06665880762764659,255,200,31,374,COMPLETE,0 days 00:00:08.938440,642.5985982822291,8.885920459000772,0.49562073386491645
3,0.24825134582678748,22.413234378101137,0.033961173423533136,127,450,47,94,COMPLETE,0 days 00:00:23.387495,622.7132890974651,23.323020374999032,0.49601412343792545
4,0.2482530026595317,4.376712630340954,0.02588968965098415,255,150,63,153,COMPLETE,0 days 00:00:11.004520,622.0500437800757,10.950945333002892,0.49600455433516194
5,0.24835769439119737,0.3058252321378967,0.03994979421119116,255,200,7,99,COMPLETE,0 days 00:00:07.996716,580.1409850422546,7.942994290999195,0.49499297452916324
6,0.24833050255772784,27.838036931305016,0.030098231484990676,127,250,7,96,COMPLETE,0 days 00:00:09.765463,591.0261249471249,9.704077915997914,0.49485616109634484
7,0.24822928846349135,3.499331111708852,0.015149151241893618,127,450,23,707,COMPLETE,0 days 00:00:23.343098,631.5430535809852,23.279430583999783,0.4953682121014808
8,0.24822548802736988,2.4566974547738343,0.02618680664579013,127,250,23,546,COMPLETE,0 days 00:00:13.708519,633.0644029570065,13.64692145799927,0.4953090227163687
9,0.24821074580858235,0.41450242860409475,0.03826982390429748,255,300,31,792,COMPLETE,0 days 00:00:16.601578,638.965848116646,16.540353000000323,0.49573569923782157
10,0.2483242563019692,9.992322858608054,0.0691126479055426,255,300,47,163,COMPLETE,0 days 00:00:16.276092,593.526558317703,16.211614499999996,0.49626331680752306
11,0.24827814368641285,0.10465667707688302,0.050616781663665,255,300,31,313,COMPLETE,0 days 00:00:13.692577,611.985860529618,13.628977125001256,0.4960331074329454
12,0.2482577123460571,0.1295495808759345,0.08869865671032552,127,150,31,340,COMPLETE,0 days 00:00:07.248493,620.1647131423238,7.188677041998744,0.4952551871145318
13,0.24822902589915324,19.494565380549272,0.030772106277505148,255,250,31,210,COMPLETE,0 days 00:00:13.638874,631.6481604895507,13.579516166999383,0.4951918054925351
14,0.24821427866605922,1.7127773675612676,0.04489886640909532,255,350,31,228,COMPLETE,0 days 00:00:16.495577,637.5516129219938,16.436129790999985,0.4951839714754022
15,0.2482026045876707,0.20786187972644884,0.07072953068500178,255,150,23,636,COMPLETE,0 days 00:00:07.310620,642.2248533881625,7.2495207080028194,0.49534460997373225
16,0.24821170851151217,14.482718449990353,0.05755276588041971,255,300,31,525,COMPLETE,0 days 00:00:13.916197,638.580469319372,13.852832165997825,0.4956846906078294
17,0.24822880463658056,5.417972679416462,0.016438828796660594,255,400,31,298,COMPLETE,0 days 00:00:22.061600,631.7367339232604,22.000936874999752,0.49502970705247834
18,0.24835838187522397,0.3915814791426158,0.08398215515966441,255,200,47,281,COMPLETE,0 days 00:00:09.843211,579.8657788918415,9.783405291000236,0.4967985065438579
19,0.2482476264151719,0.920323538754567,0.08731409697508398,255,300,31,823,COMPLETE,0 days 00:00:12.999030,624.2022036219264,12.939325249997637,0.4966090472099845
