number,value,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,state,duration,user_attrs_robust_objective,user_attrs_season_2021_brier,user_attrs_season_2021_fit_seconds,user_attrs_season_2021_normalized_brier,user_attrs_season_2022_brier,user_attrs_season_2022_fit_seconds,user_attrs_season_2022_normalized_brier,user_attrs_season_2023_brier,user_attrs_season_2023_fit_seconds,user_attrs_season_2023_normalized_brier,user_attrs_weighted_mean_normalized_brier,user_attrs_weighted_std_normalized_brier
0,1.0062451448850802,gini,16,0.8,100,COMPLETE,0 days 00:03:27.937723,1.0062451448850802,0.24601228113665913,38.04458549999981,0.9882921509618936,0.24351433334752545,71.29377604099864,0.977327047696254,0.2545811683186016,98.42018383300092,1.0183246807240145,1.0015205113513683,0.018898534134847433
1,1.0048392571900833,log_loss,11,0.4,162,COMPLETE,0 days 00:01:35.929772,1.0048392571900833,0.24579958390019843,18.616872334001528,0.9874376935813346,0.24358274559692647,31.75732875000176,0.9776016152784338,0.2540767622263441,45.3502876249986,1.0163070563402246,1.000365019607854,0.01789695032891714
2,1.00583857555599,log_loss,21,0.7000000000000001,185,COMPLETE,0 days 00:02:56.079355,1.00583857555599,0.24596439247127527,32.99194174999866,0.9880997703543067,0.2434716045215339,57.97426508300123,0.9771555586640325,0.2544518346403687,84.93464745800156,1.0178073460072983,1.0011556734563698,0.018731608398480343
3,1.005138695229253,log_loss,15,0.5,253,COMPLETE,0 days 00:02:07.134174,1.005138695229253,0.24580331065049535,23.970649374998175,0.9874526648585814,0.2434711283837047,42.152373959001125,0.9771536477195204,0.2542214588440696,60.83701858399945,1.0168858428153607,1.0005512075930918,0.018349950544644503
4,1.005912925242059,log_loss,12,0.6000000000000001,101,COMPLETE,0 days 00:02:18.005769,1.005912925242059,0.24590378178270647,26.719220250000944,0.987856282234526,0.24348572781934588,45.917867125004705,0.9772122414915464,0.25448637271476066,65.18521179200616,1.0179454983058769,1.0012121388508752,0.018803145564735408
5,1.0053522739687177,gini,21,0.6000000000000001,375,COMPLETE,0 days 00:02:27.965964,1.0053522739687177,0.24585337741378063,27.799225750000915,0.9876537954238943,0.24347426891478902,48.801976583003125,0.9771662520123793,0.254290690750766,71.1998892499978,1.0171627704441721,1.0007374686615926,0.01845922122850042
6,1.0072721112273972,gini,18,1.0,48,COMPLETE,0 days 00:04:12.718184,1.0072721112273972,0.24625152305971457,48.59329350000189,0.9892532449107172,0.24363661511860385,83.1405822500019,0.977817816681686,0.2548815942834129,120.75982154200028,1.0195263845920508,1.0024728432667414,0.019197071842623446
7,1.0059909189704397,log_loss,10,0.7000000000000001,139,COMPLETE,0 days 00:02:29.349356,1.0059909189704397,0.24591617020039472,28.813444166997215,0.9879060495709677,0.24352837762521137,49.36694312500185,0.9773834133822451,0.2545000863520489,70.96933608400286,1.0180003528554311,1.001301125520806,0.018759173798534656
8,1.005690576671032,log_loss,21,0.7000000000000001,325,COMPLETE,0 days 00:02:54.663897,1.005690576671032,0.24593344663608702,32.38644983300037,0.9879754532841174,0.24345731246197547,57.52682679099962,0.9770981985235359,0.2544068704427372,84.55839145799837,1.0176274892154564,1.0010208966181795,0.01867872021141001
9,1.0067117887137722,gini,22,1.0,103,COMPLETE,0 days 00:05:17.821939,1.0067117887137722,0.24614954703014644,47.58762066599593,0.9888435819900582,0.24352296364668757,96.31544099999883,0.9773616847736075,0.2547266597785059,173.68302891599888,1.018906646567889,1.00193369834293,0.019112361483369263
10,1.0047172635313226,log_loss,11,0.4,309,COMPLETE,0 days 00:02:25.525873,1.0047172635313226,0.24578957165721305,29.181998750005732,0.9873974719260974,0.24359902686412355,46.84997279199888,0.9776669589589627,0.25402827722255833,69.23723754200182,1.0161131163236625,1.0002719224546177,0.01778136430681939
11,1.004545200486396,log_loss,10,0.4,319,COMPLETE,0 days 00:01:49.387484,1.004545200486396,0.24580944568060917,22.827472666001995,0.9874773107912129,0.24363319149004076,36.180586333000974,0.9778040761977072,0.25395023397308053,50.14945920900209,1.0158009433234676,1.0001533383059011,0.017567448721979257
12,1.0051507052362585,gini,10,0.5,356,COMPLETE,0 days 00:02:37.599557,1.0051507052362585,0.2458390597407176,29.16750433299603,0.9875962777916734,0.24359877354945011,57.266785665997304,0.9776659422989636,0.2541804061919541,70.85266158400191,1.0167216322056973,1.0006361220715738,0.0180583326587385
13,1.0044564399776008,log_loss,11,0.4,388,COMPLETE,0 days 00:02:25.110885,1.0044564399776008,0.24577616524559906,27.107444958004635,0.9873436150563938,0.24358829249033384,52.20366274999833,0.9776238773312796,0.25393705207203926,65.4570605830013,1.0157482157189168,1.0000502241032472,0.017624863497414583
14,1.005461765130284,log_loss,12,0.6000000000000001,355,COMPLETE,0 days 00:02:52.769348,1.005461765130284,0.24585025312687422,32.97781312499865,0.9876412443910243,0.24349287604779002,56.80624920799892,0.9772409303859763,0.2543263046624083,82.72572962499544,1.0173052260917834,1.0008363401249274,0.018501700021426308
15,1.0068260787422754,log_loss,20,0.7000000000000001,43,COMPLETE,0 days 00:04:03.589275,1.0068260787422754,0.24612769394391906,43.64208750000398,0.9887557927402978,0.24356317930413224,79.7954370840016,0.9775230873868388,0.25476099243825356,119.84669283300173,1.0190439772078843,1.0020444825914328,0.01912638460337015
16,1.0048915867076793,gini,10,0.4,123,COMPLETE,0 days 00:01:43.036705,1.0048915867076793,0.2458398194194607,20.9484404169998,0.9875993296089876,0.24361434650448827,34.45546004099742,0.9777284432202118,0.2540791820589778,47.390182333001576,1.01631673567083,1.000432637026368,0.017835798725244954
17,1.005178743885643,gini,16,0.5,236,COMPLETE,0 days 00:02:12.230661,1.005178743885643,0.2458744387871548,25.21550666699477,0.9877384041674009,0.24347864550694162,43.6936760000026,0.9771838171463435,0.2542209441180126,63.124236499999824,1.0168837839111176,1.000601986920128,0.018307027862060652
18,1.0050728743928272,log_loss,10,0.4,44,COMPLETE,0 days 00:01:37.574060,1.0050728743928272,0.24584262128664866,18.68362804199569,0.9876105854021419,0.24362717281227944,32.259255749995646,0.9777799206727052,0.2541421483322887,46.39894425000239,1.0165686007659163,1.0005882944333868,0.01793831983776204
19,1.0061845131944727,log_loss,14,1.0,298,COMPLETE,0 days 00:03:51.928053,1.0061845131944727,0.24604531822265577,43.85645754200232,0.9884248691035664,0.243483158711861,76.90959708300215,0.977201930565701,0.2545619869228844,110.9858465829966,1.0182479551405843,1.0014606848625667,0.018895313327623516
