number,value,params_l2_regularization,params_learning_rate,params_max_bins,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,state,duration,user_attrs_robust_objective,user_attrs_season_2021_brier,user_attrs_season_2021_fit_seconds,user_attrs_season_2021_normalized_brier,user_attrs_season_2022_brier,user_attrs_season_2022_fit_seconds,user_attrs_season_2022_normalized_brier,user_attrs_season_2023_brier,user_attrs_season_2023_fit_seconds,user_attrs_season_2023_normalized_brier,user_attrs_weighted_mean_normalized_brier,user_attrs_weighted_std_normalized_brier
0,1.0036016319125765,5.0,0.04,255,300,31,200,COMPLETE,0 days 00:00:28.253899,1.0036016319125765,0.24611768409923285,6.666769708001084,0.9887155807196213,0.2435943462359823,9.22126224999738,0.9776481735986935,0.25355371880714217,12.245522958000947,1.0142148826481114,0.9994199746440126,0.016726629074255536
1,1.0052469039183496,5.675206026988748,0.029345405892355497,255,500,63,364,COMPLETE,0 days 00:01:00.909423,1.0052469039183496,0.24655062929612936,14.34021012499943,0.9904548286055909,0.24379969899663634,20.1424077499978,0.9784723419527586,0.25402237011528445,26.280110957999568,1.0160894878943942,1.000959145218583,0.0171510347990661
2,1.0039566862550184,0.22158645374549912,0.06665880762764659,255,200,31,374,COMPLETE,0 days 00:00:19.958702,1.0039566862550184,0.24615568167051793,4.926767209002719,0.9888682263569983,0.24369380999670986,6.545470958000806,0.9780473641608601,0.253648631864622,8.352885416999925,1.014594534880808,0.9997714373862522,0.016740995475064656
3,1.004485791825265,22.413234378101137,0.033961173423533136,127,450,47,94,COMPLETE,0 days 00:00:51.139257,1.004485791825265,0.246171707703857,12.76103004199831,0.9889326068947782,0.2435796630186888,16.667621665998013,0.9775892435751057,0.2538770879482363,21.560134667000966,1.0155083592219505,1.0001462616788213,0.01735812058577479
4,1.0038158890886733,4.376712630340954,0.02588968965098415,255,150,63,153,COMPLETE,0 days 00:00:29.151723,1.0038158890886733,0.24596227522411387,7.778662833999988,0.9880912648490466,0.24351515076974428,9.970367499998247,0.9773303283608165,0.2536865964360022,11.230518249998568,1.0147463931674399,0.9995233044776939,0.01717033844391721
5,1.0021912080203976,0.3058252321378967,0.03994979421119116,255,200,7,99,COMPLETE,0 days 00:00:18.582560,1.0021912080203976,0.24564896945651268,4.340301041997009,0.9868326381270769,0.24364019353680152,6.131342666998535,0.9778321784025937,0.2531024234343567,7.948983666999993,1.0124097011437636,0.9981998848689096,0.015965292605952003
6,1.0022888535259133,27.838036931305016,0.030098231484990676,127,250,7,96,COMPLETE,0 days 00:00:26.030603,1.0022888535259133,0.2457040795545236,6.121115458001441,0.9870540290147647,0.2435816174574681,8.152268917001493,0.9775970875728525,0.25314639830713526,11.576243084000453,1.0125856006361647,0.998259310973961,0.016118170207809212
7,1.0031348084549645,3.499331111708852,0.015149151241893618,127,450,23,707,COMPLETE,0 days 00:00:56.641144,1.0031348084549645,0.2458296396362823,12.692055542000162,0.9875584349033768,0.24346995075095298,19.239748542000598,0.9771489213762096,0.2534716691236471,24.539643542000704,1.0138866839117302,0.998916117799821,0.01687476262057414
8,1.0031741693312917,2.4566974547738343,0.02618680664579013,127,250,23,546,COMPLETE,0 days 00:00:33.847648,1.0031741693312917,0.245787743791403,7.355452208001225,0.9873901289372647,0.24346619788376378,11.63327924999976,0.9771338595169753,0.25349525257461997,14.675268250000954,1.0139810177163118,0.9989382369396538,0.016943729566551602
9,1.004118923895399,0.41450242860409475,0.03826982390429748,255,300,31,792,COMPLETE,0 days 00:00:34.971308,1.004118923895399,0.2461089585192544,8.68236812500254,0.988680527907764,0.24368426139563168,11.51356179099821,0.978009041545624,0.2537206538916905,14.563148790999549,1.0148826229911896,0.9998902342950061,0.016914758401570754
