model,validation_season,dimension,segment,rows,weight,actual_rate,predicted_rate,mean_bias,brier,weighted_excess_vs_fold_reference
constant,2022,game_month,4,41395,0.1672714488911877,0.5335426983935257,0.5431423520563062,0.009599653662780483,0.24896704073492637,-3.2880082254592e-05
constant,2022,game_month,5,44865,0.1812932372147152,0.55056279950964,0.5431423520563062,-0.007420447453333812,0.24749846634615566,-0.0003018789111149868
constant,2022,game_month,6,39951,0.16143644533522986,0.5368826812845736,0.5431423520563062,0.006259670771732617,0.24867885129943115,-7.825738992663015e-05
constant,2022,game_month,7,33468,0.1352395422512446,0.5188538305246803,0.5431423520563062,0.024288521531625973,0.25023446535273897,0.00014482226546023026
constant,2022,game_month,8,36914,0.14916434990625202,0.5183670152245761,0.5431423520563062,0.024775336831730166,0.25027647006686593,0.0001659993547462778
constant,2022,game_month,9,41603,0.16811194801836168,0.516621397495373,0.5431423520563062,0.026520954560933285,0.25042709017612397,0.00021240645893864772
constant,2022,game_month,10,9276,0.03748302838300899,0.5028029322984044,0.5431423520563062,0.040339419757901784,0.2516194123569348,9.205098642613071e-05
constant,2022,count_state,0-0,64084,0.2589545483933536,0.5315991511141627,0.5431423520563063,0.011543200942143672,0.2491347391368551,-7.475709518067996e-06
constant,2022,count_state,0-1,31161,0.12591727548975237,0.5402265652578544,0.5431423520563062,0.002915786798451836,0.24839032526020965,-9.736964901862225e-05
constant,2022,count_state,0-2,15595,0.06301723023210706,0.5218339211285669,0.5431423520563061,0.021308430927739264,0.2499773291167538,5.127845434186117e-05
constant,2022,count_state,1-0,25393,0.10260958815542769,0.5280195329421494,0.5431423520563062,0.015122819114156805,0.24944360543166333,2.8730426655463114e-05
constant,2022,count_state,1-1,25225,0.10193072347578716,0.5361744301288405,0.5431423520563061,0.006967921927465648,0.2487399625408409,-4.318248267784711e-05
constant,2022,count_state,1-2,23740,0.09593004461110752,0.5291491154170177,0.5431423520563062,0.013993236639288531,0.24934613974204853,1.7510283307023156e-05
constant,2022,count_state,2-0,8700,0.03515549233852719,0.5264367816091954,0.5431423520563062,0.01670557044711085,0.2495801726621111,1.4644537674436269e-05
constant,2022,count_state,2-1,13114,0.052991853623844315,0.5273753240811346,0.5431423520563062,0.0157670279751716,0.24949919080262273,1.7783157599777286e-05
constant,2022,count_state,2-2,20240,0.08178703045192992,0.5267786561264822,0.5431423520563062,0.016363695929824007,0.24955067412054338,3.165699297798316e-05
constant,2022,count_state,3-0,2809,0.011350779078037112,0.5062299750800997,0.5431423520563063,0.03691237697620664,0.25132371098453493,2.4518852372555497e-05
constant,2022,count_state,3-1,5605,0.02264902696062585,0.5095450490633363,0.5431423520563062,0.033597302992969924,0.25103767080677997,4.244570025242758e-05
constant,2022,count_state,3-2,11806,0.04770640718950023,0.5016940538709131,0.5431423520563062,0.041448298185393084,0.2517150916039478,0.00012172211830806676
constant,2022,pitcher_n_bucket,0,88,0.00035559578457360834,0.5454545454545454,0.5431423520563062,-0.002312193398239182,0.24793923053583156,-4.353834458974346e-07
constant,2022,pitcher_n_bucket,1-10,864,0.0034913040667227,0.5717592592592593,0.5431423520563063,-0.028616907202952957,0.24566953608842487,-1.2198867286896426e-05
constant,2022,pitcher_n_bucket,1001+,187283,0.7567846059352169,0.5201379730141017,0.543142352056306,0.023004379042204315,0.25012366349800075,0.0007265552623533689
constant,2022,pitcher_n_bucket,11-50,3122,0.012615568629986423,0.5598975016015375,0.5431423520563062,-0.016755149545231274,0.2466930243381769,-3.116781706466999e-05
constant,2022,pitcher_n_bucket,201-1000,45627,0.18437237344022758,0.55359765051395,0.5431423520563062,-0.010455298457643813,0.2472366051252229,-0.00035528608375199185
constant,2022,pitcher_n_bucket,51-200,10488,0.04238055214327278,0.5655034324942791,0.5431423520563062,-0.022361080437972913,0.24620931824982092,-0.00012520442852888332
constant,2022,batter_n_bucket,0,88,0.00035559578457360834,0.6590909090909091,0.5431423520563062,-0.11594855703460283,0.23813415052303472,-3.9220285658549324e-06
constant,2022,batter_n_bucket,1-10,842,0.0034024051205792977,0.6413301662707839,0.5431423520563062,-0.09818781421447764,0.23966663096208943,-3.2312563121175515e-05
constant,2022,batter_n_bucket,1001+,191269,0.7728914786319261,0.5142077388390173,0.543142352056306,0.02893461321728874,0.2506353519991164,0.0011374984371322683
constant,2022,batter_n_bucket,11-50,3199,0.01292671494148833,0.6348859018443264,0.5431423520563062,-0.09174354978802013,0.24022267241134976,-0.00011557692497080536
constant,2022,batter_n_bucket,201-1000,42269,0.17080316156979375,0.5675317608649365,0.5431423520563062,-0.024389408808630275,0.24603430453651562,-0.0005344949159060093
constant,2022,batter_n_bucket,51-200,9805,0.03962064395163897,0.6040795512493625,0.5431423520563062,-0.06093719919305629,0.2428807892572256,-0.00024892932229337894
constant,2022,li_bucket,0.5-1,77154,0.3117686041249111,0.530808512844441,0.5431423520563062,0.01233383921186526,0.24920295912601806,1.2268462364611953e-05
constant,2022,li_bucket,1-2,66369,0.2681879162087024,0.5351293525591767,0.5431423520563062,0.008012999497129525,0.24883013674971416,-8.94329453337906e-05
constant,2022,li_bucket,2+,26079,0.10538161893062649,0.5271674527397523,0.5431423520563062,0.015974899316553937,0.24951712691980743,3.725440174862275e-05
