rank,feature,importance,importance_percent,source_component
1,game_type_F,0.35832358758161337,35.832358758161334,XGBoost gain
2,game_type_R,0.1560189633805007,15.60189633805007,XGBoost gain
3,season,0.07848149089003018,7.848149089003018,XGBoost gain
4,asof_pitcher_success_rate,0.07347295710412298,7.347295710412298,XGBoost gain
5,asof_pitcher_reverse_rate,0.02620764548090253,2.620764548090253,XGBoost gain
6,asof_batter_success_rate,0.014143798102460636,1.4143798102460636,XGBoost gain
7,pitcher_hand,0.012828457653105757,1.2828457653105756,XGBoost gain
8,asof_pitcher_ball_rate,0.01258487208717253,1.258487208717253,XGBoost gain
9,batter_hand,0.011890844890455918,1.1890844890455918,XGBoost gain
10,batter_team_id,0.01141858050828102,1.141858050828102,XGBoost gain
11,asof_pitcher_prev5_game_success_rate,0.011065211564433824,1.1065211564433826,XGBoost gain
12,balls_before,0.010959015641212587,1.0959015641212588,XGBoost gain
13,strikes_before,0.01084464829341346,1.0844648293413461,XGBoost gain
14,pitcher_team_id,0.010796929185535415,1.0796929185535415,XGBoost gain
15,asof_pitcher_prev1_game_success_rate,0.010700823211468142,1.0700823211468142,XGBoost gain
16,asof_pitcher_prev3_game_success_rate,0.01041515583341365,1.041515583341365,XGBoost gain
17,asof_pitcher_n,0.009586689424012714,0.9586689424012714,XGBoost gain
18,asof_pitcher_offspeed_rate,0.00864844429331086,0.864844429331086,XGBoost gain
19,inning,0.008227038507531452,0.8227038507531451,XGBoost gain
20,base_state_12_,0.007967444437259342,0.7967444437259342,XGBoost gain
21,asof_pitcher_fastball_rate,0.007627132170739447,0.7627132170739447,XGBoost gain
22,asof_pitcher_strike_rate,0.007595083962754254,0.7595083962754254,XGBoost gain
23,asof_batter_middle_rate,0.0075096490831494216,0.7509649083149421,XGBoost gain
24,asof_batter_n,0.007223771691846432,0.7223771691846432,XGBoost gain
25,li,0.007212712235855726,0.7212712235855726,XGBoost gain
26,base_state__23,0.007174903797529269,0.717490379752927,XGBoost gain
27,base_state_123,0.0070603771935638755,0.7060377193563876,XGBoost gain
28,asof_pitcher_breaking_rate,0.006971291063667544,0.6971291063667544,XGBoost gain
29,home_win_expectancy,0.006958233455017632,0.6958233455017633,XGBoost gain
30,game_dayofweek,0.006847160660950473,0.6847160660950473,XGBoost gain
31,asof_pitcher_prev1_game_middle_rate,0.006790783978092252,0.6790783978092252,XGBoost gain
32,base_state____,0.006751962260766394,0.6751962260766394,XGBoost gain
33,base_state_1__,0.006659876806405383,0.6659876806405383,XGBoost gain
34,base_state___3,0.006571311285847898,0.6571311285847898,XGBoost gain
35,top_bottom_T,0.006262700309641066,0.6262700309641066,XGBoost gain
36,outs_before,0.006192853442216818,0.6192853442216818,XGBoost gain
37,runner_on_2b,0.005891948694944309,0.5891948694944309,XGBoost gain
38,top_bottom_B,0.005796519792414318,0.5796519792414319,XGBoost gain
39,base_state__2_,0.005766541448929281,0.5766541448929281,XGBoost gain
40,runner_on_3b,0.005714238371166079,0.5714238371166078,XGBoost gain
41,base_state_1_3,0.005609116728575181,0.5609116728575181,XGBoost gain
42,runner_on_1b,0.005229233495689888,0.5229233495689888,XGBoost gain
